,precision,recall,f1-score,support
ACCIO,0.0,0.0,0.0,516.0
AGUAMENTI,0.0,0.0,0.0,79.0
ALOHOMORA,0.0,0.0,0.0,164.0
ANAPNEO,0.0,0.0,0.0,4.0
APARECIUM,0.0,0.0,0.0,9.0
AVADA_KEDAVRA,0.0,0.0,0.0,915.0
AVIS,0.0,0.0,0.0,27.0
CAVE_INIMICUM,0.0,0.0,0.0,2.0
COLLOPORTUS,0.0,0.0,0.0,39.0
CONFRINGO,0.0,0.0,0.0,43.0
CONFUNDO,0.0,0.0,0.0,17.0
CRUCIO,0.11837478838390415,1.0,0.21169073125291105,909.0
DEFODIO,0.0,0.0,0.0,6.0
DELETRIUS,0.0,0.0,0.0,6.0
DENSAUGEO,0.0,0.0,0.0,8.0
DEPRIMO,0.0,0.0,0.0,2.0
DESCENDO,0.0,0.0,0.0,1.0
DIFFINDO,0.0,0.0,0.0,81.0
DURO,0.0,0.0,0.0,4.0
ENGORGIO,0.0,0.0,0.0,37.0
EPISKEY,0.0,0.0,0.0,53.0
ERECTO,0.0,0.0,0.0,5.0
EVANESCO,0.0,0.0,0.0,53.0
EXPECTO_PATRONUM,0.0,0.0,0.0,221.0
EXPELLIARMUS,0.0,0.0,0.0,335.0
EXPULSO,0.0,0.0,0.0,19.0
FERULA,0.0,0.0,0.0,9.0
FINITE_INCANTATEM,0.0,0.0,0.0,67.0
FLAGRATE,0.0,0.0,0.0,9.0
FURNUNCULUS,0.0,0.0,0.0,19.0
GEMINIO,0.0,0.0,0.0,10.0
GLISSEO,0.0,0.0,0.0,3.0
HOMENUM_REVELIO,0.0,0.0,0.0,21.0
IMPEDIMENTA,0.0,0.0,0.0,70.0
IMPERIO,0.0,0.0,0.0,138.0
IMPERVIUS,0.0,0.0,0.0,12.0
INCARCEROUS,0.0,0.0,0.0,77.0
INCENDIO,0.0,0.0,0.0,164.0
LANGLOCK,0.0,0.0,0.0,15.0
LEGILIMENS,0.0,0.0,0.0,225.0
LEVICORPUS,0.0,0.0,0.0,64.0
LIBERACORPUS,0.0,0.0,0.0,4.0
LOCOMOTOR,0.0,0.0,0.0,18.0
LOCOMOTOR_MORTIS,0.0,0.0,0.0,13.0
LUMOS,0.0,0.0,0.0,501.0
METEOLOJINX_RECANTO,0.0,0.0,0.0,1.0
MOBILIARBUS,0.0,0.0,0.0,4.0
MOBILICORPUS,0.0,0.0,0.0,12.0
MORSMORDRE,0.0,0.0,0.0,38.0
MUFFLIATO,0.0,0.0,0.0,81.0
NOX,0.0,0.0,0.0,76.0
OBLIVIATE,0.0,0.0,0.0,371.0
OBSCURO,0.0,0.0,0.0,7.0
OPPUGNO,0.0,0.0,0.0,5.0
ORCHIDEOUS,0.0,0.0,0.0,5.0
PESKIPIKSI_PESTERNOMI,1.0,1.0,1.0,1.0
PETRIFICUS_TOTALUS,0.0,0.0,0.0,117.0
PIERTOTUM_LOCOMOTOR,0.0,0.0,0.0,2.0
POINT_ME,0.0,0.0,0.0,66.0
PORTUS,0.0,0.0,0.0,30.0
PRIOR_INCANTATO,0.0,0.0,0.0,2.0
PROTEGO,0.0,0.0,0.0,205.0
PROTEGO_HORRIBILIS,0.0,0.0,0.0,5.0
PROTEGO_TOTALUM,0.0,0.0,0.0,4.0
QUIETUS,0.0,0.0,0.0,17.0
REDUCIO,0.0,0.0,0.0,21.0
REDUCTO,0.0,0.0,0.0,147.0
RELASHIO,0.0,0.0,0.0,21.0
RENNERVATE,0.0,0.0,0.0,32.0
REPARO,0.0,0.0,0.0,131.0
REPELLO_MUGGLETUM,0.0,0.0,0.0,5.0
RICTUSEMPRA,0.0,0.0,0.0,25.0
RIDDIKULUS,0.0,0.0,0.0,83.0
SALVIO_HEXIA,0.0,0.0,0.0,5.0
SCOURGIFY,0.0,0.0,0.0,157.0
SECTUMSEMPRA,0.0,0.0,0.0,175.0
SERPENSORTIA,0.0,0.0,0.0,15.0
SILENCIO,0.0,0.0,0.0,128.0
SONORUS,0.0,0.0,0.0,71.0
SPECIALIS_REVELIO,0.0,0.0,0.0,5.0
STUPEFY,0.0,0.0,0.0,423.0
TARANTALLEGRA,0.0,0.0,0.0,16.0
TERGEO,0.0,0.0,0.0,24.0
WADDIWASI,0.0,0.0,0.0,8.0
WINGARDIUM_LEVIOSA,0.0,0.0,0.0,145.0
accuracy,0.11848958333333333,0.11848958333333333,0.11848958333333333,0.11848958333333333
macro avg,0.013157350451575343,0.023529411764705882,0.014255185073563659,7680.0
weighted avg,0.014140974302209489,0.11848958333333333,0.025185790977720852,7680.0
